                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 2.1227,                0.85236,                 1.6452,                0.93937,                0.92768,                0.95285,                0.40203,                 2.0732,                0.73624,                 1.8474,               0.008878,               0.008878,               0.008878
                     37,                 2.1199,                0.83256,                 1.6486,                0.93047,                 0.9198,                0.94326,                0.39318,                 2.0859,                0.74974,                 1.8592,               0.008845,               0.008845,               0.008845
                     38,                 2.1319,                0.84291,                 1.6466,                0.93128,                0.93254,                0.95008,                0.40085,                 2.0715,                 0.7356,                 1.8392,               0.008812,               0.008812,               0.008812
                     39,                 2.1163,                0.83031,                 1.6448,                0.93759,                0.92803,                0.94732,                0.40002,                 2.0768,                0.73083,                 1.8404,               0.008779,               0.008779,               0.008779
                     40,                 2.1234,                0.83341,                 1.6342,                0.93782,                0.92847,                0.94982,                0.40369,                 2.0704,                0.73007,                 1.8407,               0.008746,               0.008746,               0.008746
                     41,                 2.1193,                0.82629,                 1.6373,                0.93851,                0.93039,                0.95215,                0.40064,                   2.07,                0.71868,                 1.8408,               0.008713,               0.008713,               0.008713
                     42,                 2.1062,                0.82556,                 1.6344,                 0.9391,                0.93164,                0.95431,                0.40765,                  2.052,                0.73508,                 1.8245,                0.00868,                0.00868,                0.00868
                     43,                 2.1109,                0.82311,                 1.6279,                0.93571,                0.92659,                0.94974,                 0.4012,                 2.0685,                 0.7236,                 1.8348,               0.008647,               0.008647,               0.008647
                     44,                 2.1109,                0.83379,                  1.636,                 0.9424,                0.93535,                0.95538,                 0.4076,                 2.0548,                0.72062,                 1.8262,               0.008614,               0.008614,               0.008614
                     45,                 2.1258,                0.83169,                 1.6381,                0.94918,                0.93118,                0.95555,                0.40813,                 2.0451,                 0.7257,                 1.8204,               0.008581,               0.008581,               0.008581
                     46,                 2.1088,                0.83327,                 1.6243,                0.94492,                0.93418,                0.95842,                 0.4037,                 2.0468,                0.72781,                 1.8171,               0.008548,               0.008548,               0.008548
                     47,                  2.116,                 0.8265,                 1.6371,                0.94467,                0.93281,                0.95205,                0.40595,                 2.0615,                0.72553,                 1.8351,               0.008515,               0.008515,               0.008515
