                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 2.4442,                 1.3104,                0.97428,                0.71793,                0.33377,                0.37648,                0.12821,                 2.4666,                 1.2967,                0.92657,               0.006634,               0.006634,               0.006634
                     37,                 2.3934,                 1.2985,                0.97445,                0.67862,                0.32855,                0.34247,                0.11464,                 2.4643,                  1.366,                0.92235,               0.006535,               0.006535,               0.006535
                     38,                 2.4701,                 1.3619,                0.98701,                0.61055,                0.26981,                0.25494,                0.07848,                  2.797,                 1.4937,                  0.966,               0.006436,               0.006436,               0.006436
                     39,                 2.4031,                 1.3043,                0.98599,                0.60668,                0.27119,                0.23611,                0.06557,                 2.8851,                 1.4181,                 0.9851,               0.006337,               0.006337,               0.006337
                     40,                 2.4476,                 1.3186,                0.98444,                0.66766,                0.29597,                0.29495,                 0.0858,                 2.8268,                 1.4088,                0.96893,               0.006238,               0.006238,               0.006238
                     41,                 2.3899,                 1.2632,                0.97255,                0.67549,                0.32203,                0.33202,                0.10457,                 2.5743,                 1.2676,                0.92712,               0.006139,               0.006139,               0.006139
                     42,                 2.3949,                 1.2638,                0.96814,                0.77135,                0.33427,                0.39181,                0.13114,                 2.4315,                 1.2456,                0.92261,                0.00604,                0.00604,                0.00604
                     43,                 2.3632,                 1.2624,                0.96749,                0.46141,                  0.191,                0.16013,                0.04588,                 3.1741,                 1.6453,                 1.0197,               0.005941,               0.005941,               0.005941
                     44,                 2.3545,                 1.2886,                0.96765,                0.64873,                0.28944,                0.27921,                0.08389,                  2.714,                 1.5126,                 0.9488,               0.005842,               0.005842,               0.005842
                     45,                 2.3646,                 1.2937,                0.95816,                0.72691,                0.34029,                0.36966,                0.12996,                 2.4204,                 1.2872,                0.91092,               0.005743,               0.005743,               0.005743
                     46,                 2.3809,                 1.2732,                0.96192,                0.77827,                0.34811,                0.40483,                 0.1453,                 2.3601,                 1.2572,                0.91354,               0.005644,               0.005644,               0.005644
                     47,                 2.3506,                  1.237,                0.96427,                0.67892,                0.30601,                0.29179,                0.09011,                 2.6499,                 1.4034,                0.96036,               0.005545,               0.005545,               0.005545
                     48,                 2.3417,                 1.2446,                0.96794,                0.61238,                0.29987,                 0.3023,                0.09671,                 2.7304,                 1.4418,                0.93967,               0.005446,               0.005446,               0.005446
                     49,                 2.3486,                  1.238,                0.94527,                0.76401,                0.34029,                0.37696,                0.12318,                 2.4867,                 1.2744,                0.93263,               0.005347,               0.005347,               0.005347
                     50,                 2.3762,                 1.2309,                0.96913,                0.76532,                 0.3442,                0.37613,                0.13069,                 2.4578,                 1.1567,                0.91826,               0.005248,               0.005248,               0.005248
                     51,                 2.3984,                 1.2901,                0.96196,                0.69269,                0.33503,                0.36652,                0.12201,                 2.5143,                 1.3109,                0.92853,               0.005149,               0.005149,               0.005149
