                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3134,                 66.215,                 2.6798,                      0,                      0,                      0,                      0,                 6.4464,                   21.5,                 4.0297,                0.00062,                0.00062,                0.00062
                      2,                 4.6218,                  16.33,                 2.7692,                0.04615,                0.01974,                0.02617,                0.01349,                 4.6904,                 9.8288,                 2.9138,              0.0012558,              0.0012558,              0.0012558
                      3,                 4.0069,                 6.1717,                  1.807,                0.47916,                0.22368,                0.21183,                0.06074,                 3.7012,                 3.6903,                 1.9463,              0.0018875,              0.0018875,              0.0018875
                      4,                 3.5367,                 4.5172,                 1.5671,                0.35155,                0.32895,                0.21121,                0.05235,                 3.6918,                 2.0722,                 1.8072,              0.0019802,              0.0019802,              0.0019802
                      5,                 3.1123,                 3.4827,                 1.3401,                0.54512,                0.42763,                0.38202,                0.09333,                 3.2596,                 1.9584,                 1.6602,              0.0019802,              0.0019802,              0.0019802
                      6,                 2.9833,                 3.2371,                 1.3063,                0.44061,                0.49342,                0.35248,                0.11447,                 2.8605,                 1.6435,                 1.3927,              0.0019736,              0.0019736,              0.0019736
                      7,                 2.8047,                 2.9261,                 1.2155,                 0.5167,                0.42907,                0.36585,                0.09484,                 3.0718,                 1.7634,                 1.4346,               0.001967,               0.001967,               0.001967
                      8,                 2.7114,                 2.7648,                 1.2154,                0.63582,                0.51316,                0.48259,                0.13076,                 2.9022,                 1.3776,                 1.3439,              0.0019604,              0.0019604,              0.0019604
                      9,                 2.5606,                 2.6116,                 1.1925,                0.69732,                0.50018,                0.52368,                0.17791,                 2.5805,                  1.265,                 1.3052,              0.0019538,              0.0019538,              0.0019538
                     10,                 2.6066,                   2.53,                 1.1495,                0.75355,                0.54313,                0.56535,                0.20957,                 2.5335,                 1.2667,                 1.2868,              0.0019472,              0.0019472,              0.0019472
                     11,                 2.5897,                 2.4019,                 1.1618,                0.70436,                0.54861,                0.54433,                0.17798,                 2.6107,                 1.1823,                 1.2979,              0.0019406,              0.0019406,              0.0019406
                     12,                  2.479,                 2.1927,                 1.1046,                0.77292,                0.55263,                0.56675,                0.22034,                  2.448,                 1.2364,                 1.2298,               0.001934,               0.001934,               0.001934
                     13,                 2.4812,                 2.2098,                  1.142,                0.70339,                0.57237,                0.55845,                0.18237,                 2.5138,                 1.3311,                 1.2468,              0.0019274,              0.0019274,              0.0019274
                     14,                 2.4688,                 2.0434,                 1.1437,                 0.7263,                0.54122,                0.51948,                0.19657,                 2.5185,                 1.3475,                  1.268,              0.0019208,              0.0019208,              0.0019208
                     15,                 2.3872,                 1.9951,                  1.089,                0.80633,                0.56579,                 0.5873,                0.22327,                 2.3797,                 1.1089,                 1.2032,              0.0019142,              0.0019142,              0.0019142
                     16,                 2.3363,                 1.8983,                 1.1268,                0.76077,                 0.5858,                0.58448,                0.21932,                 2.2712,                 1.1646,                 1.1968,              0.0019076,              0.0019076,              0.0019076
                     17,                 2.3547,                 1.8544,                 1.1185,                0.79011,                  0.625,                0.63207,                0.22222,                 2.3119,                 1.1069,                 1.2395,               0.001901,               0.001901,               0.001901
                     18,                 2.2907,                 1.7032,                 1.1111,                0.89753,                0.57895,                0.65191,                0.24331,                 2.2528,                 1.1059,                 1.2072,              0.0018944,              0.0018944,              0.0018944
                     19,                 2.3663,                 1.6936,                 1.0762,                 0.6806,                0.55263,                0.54657,                0.21083,                 2.3134,                 1.4054,                 1.2099,              0.0018878,              0.0018878,              0.0018878
                     20,                  2.324,                 1.7121,                 1.1164,                0.76649,                0.56148,                0.57492,                0.22081,                 2.3681,                 1.1194,                 1.2572,              0.0018812,              0.0018812,              0.0018812
                     21,                 2.2286,                 1.6592,                 1.0736,                0.81465,                0.59211,                0.63307,                0.25256,                 2.2534,                 1.2953,                 1.2387,              0.0018746,              0.0018746,              0.0018746
                     22,                 2.2289,                 1.6396,                 1.0659,                0.88082,                0.58348,                0.62182,                0.24261,                 2.4211,                 1.1312,                 1.3043,               0.001868,               0.001868,               0.001868
                     23,                 2.1785,                  1.464,                 1.0922,                0.76559,                0.49421,                0.52316,                0.19878,                 2.5518,                 1.1589,                 1.3801,              0.0018614,              0.0018614,              0.0018614
                     24,                 2.3044,                  1.483,                 1.0876,                0.80589,                0.51897,                0.56138,                0.19959,                 2.5001,                 1.0924,                 1.3196,              0.0018548,              0.0018548,              0.0018548
                     25,                 2.1739,                  1.438,                 1.0891,                0.79985,                0.61184,                0.63134,                0.25642,                 2.3451,                 1.1676,                 1.2707,              0.0018482,              0.0018482,              0.0018482
                     26,                 2.0906,                  1.412,                 1.0712,                0.78985,                0.61816,                0.61477,                0.21713,                 2.3614,                 1.1365,                 1.2461,              0.0018416,              0.0018416,              0.0018416
                     27,                 2.3543,                 1.4585,                 1.0785,                0.73213,                0.60526,                 0.5846,                0.22566,                  2.397,                  1.084,                 1.3136,               0.001835,               0.001835,               0.001835
                     28,                 2.1362,                 1.3026,                 1.0865,                 0.7654,                0.52632,                0.51852,                 0.1936,                 2.5574,                 1.2011,                 1.3604,              0.0018284,              0.0018284,              0.0018284
                     29,                 2.0884,                 1.2684,                  1.044,                0.75261,                0.49342,                0.46237,                0.15855,                 2.4618,                 1.2481,                 1.2437,              0.0018218,              0.0018218,              0.0018218
                     30,                 2.1627,                  1.269,                 1.0552,                0.87852,                0.57095,                0.63886,                0.26398,                  2.157,                  1.094,                 1.2297,              0.0018152,              0.0018152,              0.0018152
                     31,                 2.1643,                 1.2576,                 1.0656,                0.96055,                0.53947,                0.64216,                 0.2617,                 2.2798,                  1.054,                 1.2569,              0.0018086,              0.0018086,              0.0018086
                     32,                 2.1601,                 1.2174,                 1.0521,                0.85715,                0.53289,                0.57895,                0.21425,                 2.5269,                 1.1559,                 1.3148,               0.001802,               0.001802,               0.001802
                     33,                 2.0922,                 1.2435,                 1.0359,                0.83073,                0.61348,                0.62453,                0.24279,                  2.408,                 1.1061,                 1.2723,              0.0017954,              0.0017954,              0.0017954
                     34,                 2.1172,                 1.2244,                 1.0733,                0.90981,                0.59728,                0.66663,                0.29282,                 2.0509,                 1.0666,                 1.1635,              0.0017888,              0.0017888,              0.0017888
                     35,                 2.0609,                 1.1853,                 1.0249,                0.87523,                0.59995,                0.64049,                0.27312,                 2.2165,                 1.0336,                 1.2706,              0.0017822,              0.0017822,              0.0017822
                     36,                  2.105,                 1.1145,                 1.0411,                0.83838,                0.58553,                 0.6302,                0.25025,                 2.1699,                  1.014,                 1.2621,              0.0017756,              0.0017756,              0.0017756
                     37,                 2.0842,                 1.1786,                 1.0716,                0.81227,                0.56935,                0.59808,                0.24715,                 2.2479,                  1.072,                 1.2177,               0.001769,               0.001769,               0.001769
                     38,                 2.0576,                 1.1312,                 1.0523,                0.88556,                0.57895,                0.62918,                0.26401,                 2.1778,                 1.0049,                 1.1869,              0.0017624,              0.0017624,              0.0017624
                     39,                 2.0734,                 1.0981,                 1.0767,                0.84684,                0.57895,                0.59518,                0.23964,                 2.3588,                 1.0872,                 1.2733,              0.0017558,              0.0017558,              0.0017558
                     40,                 2.0186,                 1.1137,                 1.0405,                0.79984,                0.57839,                0.59354,                0.20563,                 2.5329,                 1.4288,                 1.2812,              0.0017492,              0.0017492,              0.0017492
                     41,                  2.083,                 1.1005,                 1.0233,                0.87895,                0.58553,                0.62347,                0.24951,                 2.1999,                  1.007,                 1.1894,              0.0017426,              0.0017426,              0.0017426
