                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 2.5035,                  1.185,                0.99586,                0.67712,                0.27379,                0.29339,                0.09211,                 2.9652,                  1.383,                 1.0021,               0.006634,               0.006634,               0.006634
                     37,                 2.5214,                 1.2182,                0.98466,                0.74811,                0.33638,                0.35605,                0.11664,                 2.5457,                  1.212,                0.93044,               0.006535,               0.006535,               0.006535
                     38,                 2.5299,                 1.2212,                0.98177,                0.68493,                0.32464,                0.33196,                0.11503,                 2.5316,                  1.196,                 0.9375,               0.006436,               0.006436,               0.006436
                     39,                  2.459,                 1.1958,                0.99648,                0.65308,                0.28292,                0.27468,                 0.0841,                 2.8711,                 1.2552,                0.96784,               0.006337,               0.006337,               0.006337
                     40,                  2.454,                 1.1672,                0.97373,                0.67563,                0.30639,                0.30833,                0.10128,                 2.8657,                 1.2547,                0.99493,               0.006238,               0.006238,               0.006238
                     41,                 2.4836,                 1.2023,                 1.0148,                0.68975,                0.31812,                0.33748,                0.11336,                 2.7628,                 1.2799,                0.98463,               0.006139,               0.006139,               0.006139
                     42,                 2.4531,                 1.2011,                0.96988,                0.71823,                0.33768,                0.37497,                0.13157,                 2.5722,                  1.177,                0.94142,                0.00604,                0.00604,                0.00604
                     43,                 2.4837,                 1.2005,                0.97596,                0.58435,                0.20339,                0.22981,                0.07703,                 2.8739,                 1.5087,                0.97225,               0.005941,               0.005941,               0.005941
                     44,                 2.4533,                 1.2177,                0.98089,                0.70318,                0.32073,                 0.3289,                0.09874,                 2.8834,                 1.3544,                0.96984,               0.005842,               0.005842,               0.005842
                     45,                 2.4181,                 1.1396,                0.95976,                0.73961,                0.33377,                0.40028,                0.12962,                   2.69,                 1.3398,                 0.9528,               0.005743,               0.005743,               0.005743
                     46,                 2.4529,                 1.1416,                0.98232,                0.72995,                0.32725,                0.32348,                 0.1071,                 2.6578,                  1.253,                0.94809,               0.005644,               0.005644,               0.005644
                     47,                 2.4164,                  1.157,                0.94914,                0.66476,                0.28179,                0.34201,                0.11425,                 2.6371,                 1.2094,                0.93391,               0.005545,               0.005545,               0.005545
                     48,                 2.3916,                 1.1479,                0.97093,                 0.7457,                0.33262,                0.36963,                0.13279,                 2.5416,                 1.1185,                0.94498,               0.005446,               0.005446,               0.005446
                     49,                 2.4553,                 1.1481,                0.97887,                0.53212,                0.21121,                 0.1703,                0.05088,                 3.2996,                 1.5679,                 1.0441,               0.005347,               0.005347,               0.005347
                     50,                 2.4339,                 1.1843,                0.97725,                0.67962,                 0.3116,                0.30811,                0.10119,                 2.7114,                 1.2194,                 0.9558,               0.005248,               0.005248,               0.005248
                     51,                 2.3448,                  1.148,                0.96783,                0.73431,                0.33151,                0.32527,                0.11957,                 2.5426,                 1.1851,                0.93286,               0.005149,               0.005149,               0.005149
                     52,                 2.3375,                 1.1099,                0.94542,                 0.7137,                0.34681,                0.35062,                0.12302,                 2.6173,                  1.205,                0.94325,                0.00505,                0.00505,                0.00505
                     53,                  2.379,                 1.1078,                0.96569,                0.75553,                 0.3455,                0.36827,                0.13281,                 2.5831,                 1.1861,                0.93346,               0.004951,               0.004951,               0.004951
                     54,                 2.4107,                 1.1861,                0.96552,                0.58184,                0.26988,                0.23791,                0.07536,                 3.0588,                 1.5277,                0.99012,               0.004852,               0.004852,               0.004852
                     55,                 2.4113,                 1.1701,                0.97642,                0.68677,                0.29158,                0.30372,                0.09353,                 2.8703,                 1.2989,                0.97084,               0.004753,               0.004753,               0.004753
                     56,                 2.3703,                  1.187,                 0.9745,                0.62962,                0.29335,                0.26743,                0.08106,                 3.0403,                 1.4104,                 1.0015,               0.004654,               0.004654,               0.004654
                     57,                 2.3582,                 1.1575,                0.95495,                0.71587,                0.32725,                0.37368,                0.12483,                 2.7355,                  1.295,                0.94307,               0.004555,               0.004555,               0.004555
                     58,                  2.293,                 1.1287,                0.96414,                0.68174,                0.32334,                0.33111,                0.10979,                 2.7284,                 1.2494,                0.94804,               0.004456,               0.004456,               0.004456
                     59,                 2.3666,                 1.1494,                 0.9563,                  0.763,                0.35202,                0.39804,                0.13605,                   2.67,                 1.2443,                0.93795,               0.004357,               0.004357,               0.004357
                     60,                 2.3453,                  1.136,                0.94749,                0.57081,                0.24641,                0.21419,                0.06564,                 3.2122,                 1.4659,                  1.021,               0.004258,               0.004258,               0.004258
                     61,                 2.4178,                 1.2143,                0.96418,                0.71742,                0.32073,                0.32812,                0.11131,                 2.7187,                 1.2661,                0.93364,               0.004159,               0.004159,               0.004159
                     62,                 2.3472,                 1.1872,                0.96087,                0.71868,                0.34681,                0.36105,                0.13183,                 2.5117,                 1.1571,                0.91576,                0.00406,                0.00406,                0.00406
                     63,                 2.3451,                 1.1559,                0.95391,                0.69502,                0.30508,                0.31926,                0.10117,                 3.0305,                 1.3561,                0.99625,               0.003961,               0.003961,               0.003961
                     64,                 2.3804,                 1.1976,                0.95499,                0.73566,                0.34811,                0.36371,                0.13325,                 2.5383,                 1.1886,                0.91628,               0.003862,               0.003862,               0.003862
                     65,                 2.3409,                 1.1403,                0.95795,                0.73767,                0.33116,                0.35008,                0.12049,                  2.713,                 1.1733,                0.93409,               0.003763,               0.003763,               0.003763
                     66,                 2.3675,                 1.1591,                0.94224,                0.67173,                0.29614,                  0.289,                0.09229,                 2.9328,                 1.2545,                0.96833,               0.003664,               0.003664,               0.003664
                     67,                 2.3859,                  1.171,                0.95351,                0.71383,                0.30639,                0.32112,                 0.1049,                 2.9636,                 1.2901,                0.97378,               0.003565,               0.003565,               0.003565
                     68,                 2.3129,                  1.148,                0.94825,                0.66791,                0.31812,                0.30577,                0.09578,                 2.8756,                 1.3266,                 0.9487,               0.003466,               0.003466,               0.003466
                     69,                 2.4074,                 1.2124,                0.94376,                0.78056,                0.35202,                0.39793,                0.14871,                 2.5917,                 1.1041,                0.91864,               0.003367,               0.003367,               0.003367
                     70,                 2.3166,                 1.1373,                0.94705,                0.68128,                0.31943,                0.32491,                0.11001,                 2.9233,                 1.2831,                0.97627,               0.003268,               0.003268,               0.003268
                     71,                 2.3639,                 1.1347,                0.95285,                0.73459,                0.33638,                0.36384,                0.12493,                 2.6878,                 1.2332,                 0.9299,               0.003169,               0.003169,               0.003169
                     72,                 2.3316,                 1.1345,                0.93371,                 0.6842,                0.33897,                0.35051,                 0.1229,                 2.7084,                 1.1502,                   0.95,                0.00307,                0.00307,                0.00307
                     73,                 2.3436,                 1.1356,                0.91616,                0.72459,                0.35675,                0.40168,                0.14738,                 2.5532,                 1.2482,                0.91568,               0.002971,               0.002971,               0.002971
                     74,                 2.3724,                 1.1655,                 0.9309,                0.63348,                0.28683,                0.28076,                0.08986,                 3.0499,                 1.2978,                0.98269,               0.002872,               0.002872,               0.002872
                     75,                 2.3307,                 1.1385,                0.93517,                0.74862,                0.35854,                0.37674,                  0.141,                 2.4931,                 1.1016,                0.91734,               0.002773,               0.002773,               0.002773
                     76,                 2.2833,                 1.1036,                0.93905,                0.81212,                0.36632,                0.39197,                0.14553,                 2.4603,                 1.1157,                0.90675,               0.002674,               0.002674,               0.002674
                     77,                 2.3053,                 1.1322,                0.93963,                0.69418,                0.34029,                 0.3644,                 0.1316,                 2.6841,                 1.1746,                0.93557,               0.002575,               0.002575,               0.002575
                     78,                 2.3228,                 1.1332,                0.92675,                0.75907,                0.34811,                0.36794,                0.13164,                 2.5628,                 1.1246,                0.91669,               0.002476,               0.002476,               0.002476
